Country ,10th-15th centuries ,,,16th century ,,,17th century ,,,18th century ,,,19th century ,,,Whole period,,
,mean,s.d.,N,mean,s.d.,N,mean,s.d.,N,mean,s.d.,N,mean,s.d.,N,mean,s.d.,N
Austria,,,,,,,13.3,6,7,38,16.2,10,32.2,14.3,5,28.8,16.9,22
Iceland,,,,,,,,,,23,n/a,1,26,4.2,2,25,3.5,3
Belgium,,,,,,,15.2,n/a,1,18.3,2.9,3,22.2,6.9,11,20.9,6.3,15
Switzerland,,,,,,,4,n/a,1,,,,25.7,21.4,3,20.3,20.5,4
Scotland,,,,,,,11,n/a,1,15.5,6.4,2,23.5,5.6,3,18.8,7.1,6
Portugal,,,,,,,,,,,,,18.4,6.9,5,18.4,6.9,5
Ireland,,,,,,,,,,,,,15.9,5.8,47,15.9,5.8,47
Finland,,,,,,,,,,,,,15,n/a,1,15,n/a,1
Bohemia,,,,19.6,11.7,7,12.3,12.3,27,17.5,7.2,19,9,0.8,4,14.7,10.6,57
Norway,,,,,,,,,,13.6,0.8,2,15.1,2.2,4,14.6,1.9,6
France (South),,,,,,,,,,13,4.4,66,,,,13,4.4,66
Italy (South),,,,,,,,,,,,,12.5,3.2,24,12.5,3.2,24
Italy (North),,,,,,,,,,11.5,9.3,8,12.3,3.1,30,12.1,4.9,38
Sweden,,,,16.5,7.8,2,10.2,5.5,16,11.1,0.9,2,17.8,3.7,4,12.1,5.9,24
England,,,,7.8,5.8,5,15.2,7.9,6,11.2,1.5,5,12.7,1.7,11,12,5,27
Spain (Whole),,,,,,,,,,13.1,2.7,4,10.4,0.5,3,11.9,4.9,7
Italy (Whole),,,,,,,,,,,,,11.9,0.5,5,11.9,0.5,5
Netherlands,,,,,,,,,,,,,11.8,5.1,3,11.8,5.1,3
France (Whole),,,,,,,6.5,1.1,9,10.9,2.2,26,13.9,3.6,34,11.8,3.8,69
France (North),11.5,n/a,1,,,,10,n/a,1,11.5,3.7,89,13.7,5.1,4,11.6,3.7,95
Denmark,,,,,,,,,,6,n/a,1,11.3,4.9,29,11.2,10.5,30
France (Central),,,,,,,,,,11.1,3.2,22,,,,11.1,3.2,22
Poland,,,,,,,,,,10.5,1.2,3,9.9,2.7,2,10.3,1.6,5
Spain (North),,,,,,,,,,10.2,5,5,,,,10.2,6.9,5
Germany,,,,,,,6.3,7.7,19,9.4,5.7,29,12.6,6,28,9.8,6.7,76
Spain (South),,,,,,,,,,8,n/a,1,,,,8,n/a,1
Russia,,,,,,,,,,3.2,n/a,1,8,6.8,18,7.7,6.7,19
Spain (Centre),,,,,,,,,,6,n/a,1,,,,6,n/a,1
Greece,,,,,,,,,,7.4,n/a,1,4,n/a,1,5.7,2.4,2
Estonia,,,,,,,,,,5.1,n/a,1,,,,5.1,n/a,1
Hungary,,,,,,,,,,4.5,0.9,3,4.2,1.2,7,4.3,1,10
Romania,,,,,,,,,,,,,2.9,0.1,2,2.9,0.1,2
Croatia,,,,,,,,,,,,,2,n/a,1,2,n/a,1
Ukraine,,,,,,,,,,,,,2,n/a,1,2,n/a,1
Serbia,,,,,,,,,,2.5,n/a,1,0.8,0.2,3,1.3,0.8,4
Bulgaria,,,,,,,,,,,,,0.8,0.2,5,0.8,0.2,5
