Country ,10th-15th centuries ,,,16th century ,,,17th century ,,,18th century ,,,19th century ,,,Whole period,,
,mean,s.d.,N,mean,s.d.,N,mean,s.d.,N,mean,s.d.,N,mean,s.d.,N,mean,s.d.,N
Spain (South),,,,,,,,,,4.7,0.7,2,,,,4.7,0.7,2
Germany,6,7,4,,,,14.9,12.4,3,7,2.6,3,9.2,2.6,6,9.1,6.6,16
Bohemia,,,,15.1,4.8,2,8.2,9.1,9,,,,,,,9.4,8.7,11
Netherlands,,,,,,,3.6,n/a,1,12.5,7.9,9,11,4.4,3,11.5,7.1,13
Scotland,,,,,,,9.4,n/a,1,14,n/a,1,,,,11.7,3.3,2
France (North),,,,,,,8.8,1.9,3,16.9,15.3,4,10.4,5.4,4,12.3,9.6,11
Ireland,,,,,,,,,,8.2,5.4,2,22,n/a,1,12.8,8.8,3
England,,,,8,n/a,1,7.9,2.4,9,11.3,2.1,3,17.8,4,37,15.4,35.3,50
Belgium,,,,,,,,,,11.6,n/a,1,16.9,2.3,3,15.6,3.3,4
Greece,,,,,,,,,,8.4,1.1,3,39.2,n/a,1,16.1,15.4,4
Italy (South),,,,9,n/a,1,12.7,7,8,22.3,12.4,52,15,6.2,7,20.2,11.9,68
Austria,,,,,,,,,,30.4,12.6,7,13.1,9.3,10,20.2,13.6,17
Sweden,,,,43,n/a,1,33,29.5,3,23.9,15.7,15,29.2,16.2,6,27,17.2,25
Iceland,,,,,,,,,,,,,28.6,16.9,7,28.6,16.9,7
Poland,46.5,11,4,,,,,,,27.6,12.3,41,28.4,12.5,7,29.1,13.6,52
France (South),,,,,,,35.3,5.6,4,37.6,6.6,3,18.2,4.7,2,32.2,9.5,9
Norway,,,,,,,,,,,,,33,n/a,1,33,n/a,1
Spain (North),,,,,,,,,,34.1,5.2,6,,,,34.1,5.2,6
Italy (North),45.4,6.7,4,38.2,2.9,6,18.5,10.6,2,36.4,11.1,15,42.1,13,22,39.2,12,49
Slovakia,,,,,,,39.6,n/a,1,41.4,n/a,1,,,,40.5,1.3,2
Serbia,,,,,,,,,,29,n/a,1,58.8,n/a,1,43.9,21.1,2
Estonia,,,,,,,30.3,n/a,1,49.9,18.6,4,,,,45.9,18.3,5
Finland,,,,,,,57.6,n/a,1,51.2,8.9,8,44.1,13.9,12,47.5,12.3,21
Latvia,,,,,,,,,,49.7,20.8,43,,,,49.7,20.8,43
Croatia,,,,,,,,,,50,n/a,1,,,,50,n/a,1
Hungary,,,,8.5,3.5,2,,,,28.9,14.8,18,68,23,27,50.5,28.6,47
Belarus,,,,,,,,,,53.5,10.4,3,,,,53.5,10.4,3
Russia,,,,,,,39.2,11.5,7,43,24.3,6,70,17.4,44,63.4,21.2,57
