Country ,10th-15th centuries ,,,16th century ,,,17th century ,,,18th century ,,,19th century ,,,Whole period,,
,mean,s.d.,N,mean,s.d.,N,mean,s.d.,N,mean,s.d.,N,mean,s.d.,N,mean,s.d.,N
,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,28.2,n/a,1,29.2,2.7,5,28.3,2,12,28.5,9,18
Iceland,,,,,,,,,,,,,28,n/a,1,28,n/a,1
Switzerland,,,,,,,,,,,,,27,1.4,2,27,1.4,2
Austria,,,,,,,,,,26.3,2,8,27.3,3,10,26.8,3.5,18
Netherlands,,,,,,,25.5,1.4,2,27.1,1.1,11,26.4,0.6,12,26.6,1,25
Norway,,,,,,,,,,25.5,n/a,1,26.8,0.4,5,26.6,0.6,6
Sweden,,,,24.5,4.4,3,26.8,1.3,16,24.7,0.8,2,26.9,0.7,9,26.4,1.8,30
Belgium,20,0,2,,,,26.4,1.6,10,26.3,1.6,52,26.9,1.2,26,26.4,1.8,90
Germany,,,,24,1.2,5,25.1,1.7,40,26.1,1.7,103,26.9,2,159,26.3,2,307
Scotland,,,,,,,26.5,n/a,1,25.8,1.1,2,,,,26,0.9,3
Finland,,,,,,,,,,25.8,0.7,2,25,n/a,1,25.5,3.5,3
France (North),15.5,n/a,1,21.6,0.8,2,25.3,2,19,25.8,1.6,61,25.1,1.4,26,25.4,1.9,109
England,,,,24.8,1.6,3,25.7,1.3,66,25.4,1.4,110,24.4,1.5,48,25.3,1.5,227
Portugal,,,,,,,,,,,,,25.2,1.7,8,25.2,1.7,8
Bohemia,,,,,,,24.8,1.5,4,24.8,1.9,34,25.4,1.4,62,25.2,1.6,100
France (whole),,,,,,,22,n/a,1,25.7,0.9,13,24.5,0.9,37,24.8,1.1,51
Spain (North),,,,,,,,,,24.5,1.1,12,,,,24.5,1.1,12
Ireland,,,,,,,,,,25.9,n/a,1,24.3,1.4,38,24.3,4,39
France (Central),,,,20,n/a,1,21.4,n/a,1,25.8,1.9,3,26.3,n/a,1,24.2,3,6
Italy (North),19.3,2.9,14,,,,22.6,2.5,9,24.9,1.8,24,24.3,1.6,55,23.6,2.6,102
Spain (Whole),,,,20,n/a,1,22,n/a,1,23.7,0.4,5,23.9,0.6,4,23.3,1.3,11
France (South),18.1,2,5,,,,22.2,1.6,6,23.9,2,20,26.3,n/a,1,22.8,2.9,32
Estonia,,,,,,,,,,22.7,n/a,1,,,,22.7,n/a,1
Spain (South),,,,18.6,n/a,1,,,,22.7,1.4,6,,,,22.1,2,7
Greece,,,,,,,,,,22.1,1.4,3,,,,22.1,1.4,3
Poland,,,,20,n/a,1,21.3,1.8,2,22.3,1.2,7,23.3,1.1,2,22.1,1.4,12
Italy (South),,,,19.5,2.7,8,21.2,3,22,21.6,2.6,48,23.5,1.4,35,21.9,2.6,113
Spain (Centre),,,,,,,18.6,n/a,1,22.8,0.5,3,,,,21.8,2.2,4
Italy (Whole),17.5,0,2,,,,,,,,,,23.7,0.4,4,21.7,3.2,6
Ukraine,,,,,,,,,,,,,21,n/a,1,21,n/a,1
Slovakia,,,,,,,,,,,,,20.8,0.4,2,20.8,0.4,2
Bosnia,,,,,,,,,,,,,20.5,n/a,1,20.5,n/a,1
Hungary,,,,,,,,,,19.8,1.3,41,20.8,1.8,45,20.4,1.7,86
Romania,,,,,,,,,,,,,20.3,0.3,3,20.3,0.3,3
Croatia,,,,,,,,,,,,,20,n/a,1,20,n/a,1
Bulgaria,,,,,,,,,,,,,19.7,1.3,5,19.7,1.5,5
Serbia,,,,,,,,,,,,,19.3,0.9,5,19.3,0.9,5
Russia,,,,,,,,,,17.5,0.1,5,19.5,1.2,36,19.2,1.3,41
